,hexagon_id,connections_points,normalized_score
703,871eb236effffff,,
704,871eb0a96ffffff,,
705,871eb2306ffffff,,
706,871eb2aa9ffffff,,
707,871eb0601ffffff,,
708,871eb0788ffffff,,
709,871eb04e2ffffff,,
710,871eb3d65ffffff,,
711,871eb004dffffff,,
712,871eb2b11ffffff,,
713,871eb078cffffff,,
714,871eb0605ffffff,,
715,871eb3d01ffffff,,
716,871eb2aadffffff,,
717,871eb230affffff,,
718,871eb0a9affffff,,
719,871eb0728ffffff,,
720,871eb2a49ffffff,,
721,871eb041affffff,,
722,871eb3c9dffffff,,
723,871eb22a6ffffff,,
724,871e9492cffffff,,
725,871eb2b6cffffff,,
726,871eb06c4ffffff,,
727,871eb03b6ffffff,,
728,871eb00a8ffffff,,
729,871eb2242ffffff,,
730,871eb2365ffffff,,
731,871eb04d9ffffff,,
732,871eb2b08ffffff,,
733,871eb0660ffffff,,
734,871eb0783ffffff,,
735,871eb0475ffffff,,
736,871eb0665ffffff,,
737,871eb3d61ffffff,,
738,871eb2b0dffffff,,
739,871eb04deffffff,,
740,871eb236affffff,,
741,871eb2301ffffff,,
742,871eb0a91ffffff,,
743,871eb2aa4ffffff,,
744,871eb2a40ffffff,,
745,871eb3c94ffffff,,
746,871eb0411ffffff,,
747,871eb2b63ffffff,,
748,871eb3c30ffffff,1.0,0.0
749,871eb235cffffff,,
750,871eb04d0ffffff,,
751,871eb046cffffff,,
752,871eb2a9bffffff,,
753,871eb0716ffffff,,
754,871eb0408ffffff,,
755,871eb06b2ffffff,,
756,871eb2b5affffff,,
757,871eb0096ffffff,,
758,871eb3daeffffff,,
759,871eb2230ffffff,,
760,871eb03a4ffffff,,
761,871eb2353ffffff,,
762,871eb2af6ffffff,,
763,871eb2045ffffff,,
764,871eb0463ffffff,,
765,871eb0771ffffff,,
766,871eb2a92ffffff,,
767,871e94975ffffff,,
768,871eb06c9ffffff,,
769,871eb0542ffffff,,
770,871eb00adffffff,,
771,871eb2b71ffffff,,
772,871eb070dffffff,,
773,871eb2a2effffff,,
774,871eb00f1ffffff,,
775,871eb3c82ffffff,,
776,871eb06a9ffffff,,
777,871eb2b51ffffff,,
778,871eb3da5ffffff,,
779,871eb008dffffff,,
780,871eb039bffffff,,
781,871eb23aeffffff,,
782,871eb2aedffffff,,
783,871eb234affffff,,
784,871eb0645ffffff,,
785,871eb045affffff,,
786,871eb2a89ffffff,,
787,871eb0768ffffff,,
788,871eb22e6ffffff,,
789,871eb0704ffffff,,
790,871eb2a25ffffff,,
791,871eb00e8ffffff,,
