hexagon_id,latency_ms,normalized_score
871eb075effffff,,
871eb22dcffffff,,
871eb00deffffff,,
871eb2a1bffffff,,
871eb0573ffffff,,
871eb0696ffffff,,
871eb3d92ffffff,,
871eb2214ffffff,,
871eb0040ffffff,,
871eb065cffffff,38.0,0.62
871eb2b04ffffff,,
871eb04d5ffffff,,
871eb2361ffffff,,
871eb0632ffffff,,
871eb2adaffffff,,
871eb3d2effffff,,
871eb0016ffffff,,
871eb04abffffff,,
871eb2a76ffffff,,
871eb0755ffffff,,
871eb22d3ffffff,,
871eb06f1ffffff,,
871eb00d5ffffff,,
871eb056affffff,,
871eb2a12ffffff,,
871eb068dffffff,,
871eb220bffffff,,
871eb3d89ffffff,,
871eb2b35ffffff,,
871eb07b0ffffff,,
871eb3d25ffffff,,
871eb2ad1ffffff,,
871eb0629ffffff,,
871eb232effffff,,
871eb000dffffff,,
871eb2a6dffffff,,
871eb074cffffff,,
871eb22caffffff,,
871eb2a09ffffff,,
871eb00ccffffff,28.0,0.72
871eb00a4ffffff,,
871eb3c35ffffff,28.0,0.72
871eb03b2ffffff,,
871eb06c0ffffff,,
871eb2b68ffffff,,
871eb2266ffffff,,
871eb06e8ffffff,,
871eb0561ffffff,,
871eb2b90ffffff,,
871eb0684ffffff,,
871eb3d80ffffff,,
871eb2b2cffffff,,
871eb2202ffffff,,
871eb2389ffffff,,
871eb0068ffffff,,
871eb2ac8ffffff,,
871eb0620ffffff,,
871eb2325ffffff,,
871eb3d1cffffff,,
871eb0499ffffff,,
871eb0ab5ffffff,,
871eb0004ffffff,,
871eb018bffffff,,
871eb2a64ffffff,,
871eb0743ffffff,,
871eb22c1ffffff,,
871eb0435ffffff,,
871eb00c3ffffff,,
871eb2a00ffffff,,
871eb0558ffffff,,
871eb2b23ffffff,,
871eb04f4ffffff,,
871eb22a2ffffff,,
871eb0416ffffff,,
871eb0724ffffff,,
871eb2a45ffffff,,
871eb2380ffffff,,
871eb079effffff,,
871eb3d13ffffff,39.0,0.61
871eb0490ffffff,,
871eb231cffffff,,
871eb2a5bffffff,,
871eb042cffffff,,
871eb06d6ffffff,,
871eb2254ffffff,,
871eb04ebffffff,,
871eb0672ffffff,,
871eb0056ffffff,38.0,0.62
871eb2b1affffff,,
871eb2069ffffff,,
871eb0795ffffff,,
871eb060effffff,,
871eb3d0affffff,40.0,0.6
871eb0aa3ffffff,,
871eb2313ffffff,35.5,0.645
871eb0731ffffff,,
871eb2a52ffffff,,
871eb3ca6ffffff,,
871eb0423ffffff,,
871eb2b75ffffff,39.0,0.61
871eb00b1ffffff,52.0,0.48
871eb06cdffffff,,
871eb0546ffffff,51.0,0.49
871eb236effffff,,
871eb0a96ffffff,,
871eb2306ffffff,,
871eb2aa9ffffff,,
